Sex,TotalKg
M,7.0
M,67.5
M,75.0
M,83.69949594959498
M,91.63921392139213
M,97.5
M,103.26867686768679
M,107.5
M,112.5
M,115.0
M,117.5
M,120.0
M,122.5
M,125.0
M,127.0
M,128.5
M,130.0
M,132.5
M,135.0
M,137.5
M,140.0
M,140.0
M,142.5
M,145.0
M,145.1559765976598
M,147.5
M,150.0
M,150.0
M,152.5
M,155.0
M,155.0
M,157.5
M,158.76
M,160.0
M,162.0
M,162.5
M,165.0
M,165.0
M,167.5
M,167.5
M,170.0
M,170.0
M,172.37
M,172.5
M,174.63
M,175.0
M,176.9
M,177.5
M,179.17
M,180.0
M,180.0
M,181.44
M,182.5
M,183.7
M,185.0
M,185.0
M,185.97
M,187.5
M,188.0
M,190.0
M,190.0
M,190.0
M,192.5
M,192.5
M,192.78
M,195.0
M,195.0
M,195.0
M,195.0
M,197.31
M,197.5
M,197.5
M,200.0
M,200.0
M,200.0
M,201.85
M,202.5
M,202.5
M,204.12
M,205.0
M,205.0
M,205.0
M,207.5
M,207.5
M,207.5
M,210.0
M,210.0
M,210.0
M,210.9
M,212.5
M,212.5
M,212.5
M,213.19
M,215.0
M,215.0
M,215.0
M,215.46
M,217.5
M,217.5
M,217.5
M,217.72
M,219.99
M,220.0
M,220.0
M,220.0
M,221.9518451845188
M,222.5
M,222.5
M,222.5
M,224.53
M,225.0
M,225.0
M,225.0
M,225.0
M,225.0
M,227.5
M,227.5
M,227.5
M,228.5
M,230.0
M,230.0
M,230.0
M,230.0
M,230.0
M,231.33
M,232.5
M,232.5
M,232.5
M,233.6
M,235.0
M,235.0
M,235.0
M,235.0
M,235.87
M,237.5
M,237.5
M,237.5
M,238.1
M,238.93591359135917
M,240.0
M,240.0
M,240.0
M,240.0
M,240.0
M,240.4
M,241.0
M,242.5
M,242.5
M,242.5
M,242.5
M,242.67
M,244.94
M,245.0
M,245.0
M,245.0
M,245.0
M,245.0
M,247.2
M,247.21
M,247.5
M,247.5
